Timestamp	Filename	Error	Message
2015-09-01 20:28:55.735 -0400	transducer.fmp12	0	Import of script steps from clipboard started
2015-09-01 20:28:55.736 -0400	reduce.left ( list, transform_filter, reduce, seedValue )	0	script steps imported : 1
2015-09-01 20:28:55.736 -0400	transducer.fmp12	0	Import completed
2015-09-01 20:30:06.695 -0400	transducer.fmp12	0	Import of script steps from clipboard started
2015-09-01 20:30:06.697 -0400	reduce.right ( list, transform_filter, reduce, seedValue )	0	script steps imported : 7
2015-09-01 20:30:06.698 -0400	transducer.fmp12	0	Import completed
2015-09-01 20:30:35.689 -0400	transducer.fmp12	0	Import of script steps from clipboard started
2015-09-01 20:30:35.692 -0400	reduce.right ( list, transform_filter, reduce, seedValue )	3703	Unknown Error: <unknown>.
2015-09-01 20:30:35.692 -0400	reduce.right ( list, transform_filter, reduce, seedValue )	0	script steps imported : 7
2015-09-01 20:30:35.692 -0400	transducer.fmp12	0	Import completed
2015-09-01 20:31:04.537 -0400	transducer.fmp12	0	Import of script steps from clipboard started
2015-09-01 20:31:04.538 -0400	reduce.right ( list, transform_filter, reduce, seedValue )	0	script steps imported : 11
2015-09-01 20:31:04.538 -0400	transducer.fmp12	0	Import completed
